Pos,Name,Extra
SP,Jeremy Bonderman,2
SP,Nate Robertson,*
SP,Kenny Rogers,*
SP,Justin Verlander,2
SP,Zach Miner,2
CL,Todd Jones,3
RP,Joel Zumaya,2
RP,Fernando Rodney,2
RP,Jason Grilli,2
RP,Jamie Walker,*
